id,title,logo,stream_url,source,visible,weight
SNWLH,SportsNet World,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/SportsNet%20World.png,,xmltv,1,207
RDS,RDS,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RDS.png,,xmltv,0,208
RDS2 HD,RDS2 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RDS2%20HD.png,,xmltv,0,209
RDS Info HD,RDS Info HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/RDS%20Info%20HD.png,,xmltv,0,210
TSN1,TSN1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TSN1.png,,xmltv,1,131
TSN2,TSN2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TSN2.png,,xmltv,1,132
TSN3,TSN3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TSN3.png,,xmltv,1,133
TSN4,TSN4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TSN4.png,,xmltv,1,134
TSN,TSN5,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/TSN5.png,,xmltv,1,135
MUTV,MUTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/MUTV.png,,xmltv,1,137
LiverpoolFCTV,LFCTV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/LFCTV.png,,xmltv,0,211
Chelsea TV,Chelsea TV,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Chelsea%20TV.png,,xmltv,0,212
Astro SuperSport,Astro SuperSport,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Astro%20SuperSport.png,,xmltv,0,213
Astro SuperSport 2,Astro SuperSport 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Astro%20SuperSport%202.png,,xmltv,0,214
Astro SuperSport 3,Astro SuperSport 3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Astro%20SuperSport%203.png,,xmltv,0,215
astro-supersports-4-,Astro SuperSport 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Astro%20SuperSport%204.png,,xmltv,0,216
ARENA SPORT 1,Arena Sport 1,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Arena%20Sport%201.png,,xmltv,0,217
ARENA SPORT 2,Arena Sport 2,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Arena%20Sport%202.png,,xmltv,0,218
ARENA SPORT3,Arena Sport 3,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Arena%20Sport%203.png,,xmltv,0,219
ARENA SPORT4,Arena Sport 4,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Arena%20Sport%204.png,,xmltv,0,220
SK1,Sport Klub 1 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sport%20Klub%201%20HD.png,,xmltv,0,221
SK2,Sport Klub 2 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sport%20Klub%202%20HD.png,,xmltv,0,222
SK3,Sport Klub 3 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sport%20Klub%203%20HD.png,,xmltv,0,223
SK4,Sport Klub 4 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sport%20Klub%204%20HD.png,,xmltv,0,224
SK5,Sport Klub 5 HD,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Sport%20Klub%205%20HD.png,,xmltv,0,225
CBS Sports,CBS Sports ,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/CBS%20Sports%20.png,,xmltv,0,113
NBCSN,NBC Sports Network,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/NBC%20Sports%20Network.png,,xmltv,1,114
Golf,Golf Channel,https://github.com/RenegadesTV/repository.renegadestv/raw/master/Logos/Golf%20Channel.png,,xmltv,1,126
